title,year,All Intl,Total Gross,USA,"Europe, Middle East, and Africa",Latin America,Asia Pacific,China
Gloria,1980,0,4059673,4059673,no data,no data,no data,no data
Jaws 2,1980,0,4028735,4028735,no data,no data,no data,no data
Kagemusha,1980,0,4000000,4000000,no data,no data,no data,no data
Resurrection,1980,0,3910019,3910019,no data,no data,no data,no data
Hide in Plain Sight,1980,0,3806930,3806930,no data,no data,no data,no data
Guyana: Cult of the Damned,1980,0,3798102,3798102,no data,no data,no data,no data
When Time Ran Out...,1980,0,3763988,3763988,no data,no data,no data,no data
Heaven's Gate,1980,0,3484331,3484331,no data,no data,no data,no data
ffolkes,1980,0,2993772,2993772,no data,no data,no data,no data
Midnight Madness,1980,0,2900000,2900000,no data,no data,no data,no data
Loving Couples,1980,0,2806659,2806659,no data,no data,no data,no data
The Idolmaker,1980,0,2625716,2625716,no data,no data,no data,no data
The Black Marble,1980,0,2500000,2500000,no data,no data,no data,no data
Gilda Live,1980,0,2261507,2261507,no data,no data,no data,no data
Windows,1980,0,2128395,2128395,no data,no data,no data,no data
Just Tell Me What You Want,1980,0,2086905,2086905,no data,no data,no data,no data
"Bon Voyage, Charlie Brown (and Don't Come Back!!)",1980,0,2013193,2013193,no data,no data,no data,no data
Carny,1980,0,1817720,1817720,no data,no data,no data,no data
When a Stranger Calls,1980,0,1262052,1262052,no data,no data,no data,no data
Why Would I Lie?,1980,0,1175855,1175855,no data,no data,no data,no data
Nijinsky,1980,0,1047454,1047454,no data,no data,no data,no data
Heart Beat,1980,0,954046,954046,no data,no data,no data,no data
One-Trick Pony,1980,0,843215,843215,no data,no data,no data,no data
"Those Lips, Those Eyes",1980,0,804713,804713,no data,no data,no data,no data
A Small Circle of Friends,1980,0,766760,766760,no data,no data,no data,no data
Leo and Loree,1980,0,517988,517988,no data,no data,no data,no data
Home Movies,1980,0,89134,89134,no data,no data,no data,no data
Phobia,1980,0,59167,59167,no data,no data,no data,no data
Breaking Glass,1980,0,2471,2471,no data,no data,no data,no data
Raiders of the Lost Ark,1981,141766000,353988025,212222025,no data,no data,no data,no data
On Golden Pond,1981,0,119285432,119285432,no data,no data,no data,no data
Superman II,1981,0,108185706,108185706,no data,no data,no data,no data
Arthur,1981,0,95461682,95461682,no data,no data,no data,no data
Stripes,1981,0,85297000,85297000,no data,no data,no data,no data
The Cannonball Run,1981,0,72179579,72179579,no data,no data,no data,no data
Chariots of Fire,1981,0,58972904,58972904,no data,no data,no data,no data
For Your Eyes Only,1981,0,54812802,54812802,no data,no data,no data,no data
The Four Seasons,1981,0,50427646,50427646,no data,no data,no data,no data
Time Bandits,1981,0,42365581,42365581,no data,no data,no data,no data
Clash of the Titans,1981,0,41092328,41092328,no data,no data,no data,no data
